LTR10_chr	LTR10_start	LTR10_end	LTR10_subfamily	LTR10_divergence	LTR10_strand	FOSL1_peak_score	H3K27ac_peak_score
chr1	236097245	236097351	LTR10A	195	-	168.85468	1266
chr1	236097200	236097264	LTR10A	203	-	168.85468	1266
chr1	236097142	236097206	LTR10A	203	-	168.85468	1266
chr1	236096767	236097148	LTR10A	63	-	168.85468	1266
chr6	90222633	90223190	LTR10A	149	+	167.67018	146
chr14	31243810	31244336	LTR10F	117	-	166.76054	201
chr2	138644618	138645166	LTR10F	119	-	166.02551	297
chr3	195716177	195716379	LTR10A	168	-	165.79675	111
chr4	122786287	122786846	LTR10F	110	+	165.24052	39
chr3	5699227	5699755	LTR10A	139	-	164.55832	135
chr2	81649959	81650393	LTR10F	104	-	162.74146	223
chr11	100750506	100750868	LTR10F	61	-	161.22351	209
chr11	100750131	100750508	LTR10F	72	-	161.22351	209
chr12	62966407	62966909	LTR10F	80	+	159.4884	101
chr9	38171325	38171798	LTR10A	113	+	157.61238	218
chr9	38170760	38171325	LTR10A	114	-	157.61238	218
chr6	87484317	87484871	LTR10F	142	-	156.0266	208
chr3	51902373	51902910	LTR10F	102	+	155.26244	52
chr12	7584065	7584573	LTR10A	173	+	152.5789	79
chr2	3660489	3661012	LTR10F	124	-	149.78922	128
chr5	115930396	115930670	LTR10F	109	-	143.60139	340
chr5	115930340	115930422	LTR10F	110	-	143.60139	340
chr5	115929950	115930343	LTR10F	103	-	143.60139	340
chr3	5700853	5701379	LTR10F	119	-	141.21272	135
chr5	149187553	149188085	LTR10F	128	+	138.09888	193
chr10	29438848	29439408	LTR10F	98	-	137.81624	380
chr11	9900223	9900721	LTR10F	52	+	137.7511	126
chr3	47360118	47360573	LTR10F	76	-	134.90446	135
chr18	8882793	8883319	LTR10F	127	-	134.80693	379
chr19	15873824	15874297	LTR10F	57	+	133.01683	85
chr19	52669974	52670554	LTR10F	152	+	130.68459	36
chr9	31272876	31273407	LTR10F	134	+	129.5322	73
chr12	104272069	104272514	LTR10F	70	-	128.6113	140
chr17	13347361	13347835	LTR10F	59	-	126.66358	197
chr10	30099712	30100246	LTR10F	103	+	124.99837	50
chr3	127890575	127891113	LTR10F	79	+	124.9092	135
chr18	9422723	9423227	LTR10F	88	-	123.9931	86
chr16	12612598	12613121	LTR10A	151	+	123.98206	108
chr2	188298829	188299417	LTR10A	211	-	121.65284	115
chr15	34155059	34155228	LTR10A	183	-	121.3836	228
chr15	34154696	34155010	LTR10A	186	-	121.3836	228
chr1	204523706	204524240	LTR10A	127	-	115.55835	48
chr6	161224869	161225515	LTR10F	140	+	115.36066	52
chr11	18987459	18987902	LTR10F	63	-	111.12572	75
chr3	120623296	120623770	LTR10F	74	-	110.53428	168
chr2	235444084	235444651	LTR10A	162	-	109.56372	64
chr9	64870412	64870933	LTR10A	172	-	109.4273	348
chr11	77300003	77300456	LTR10F	55	+	109.22885	59
chr2	99504035	99504502	LTR10F	68	+	108.96237	59
chr2	213411950	213412446	LTR10F	139	+	106.28888	183
chr11	33642318	33642855	LTR10F	112	-	105.71175	75
chr1	32449410	32449911	LTR10F	62	-	104.24686	195
chr7	81858657	81859209	LTR10F	117	-	103.03115	67
chr6	28079856	28080367	LTR10A	89	+	102.70692	401
chr14	30965848	30966394	LTR10F	165	+	101.89356	245
chr19	2817455	2817925	LTR10A	165	-	100.84614	68
chr11	122579995	122580501	LTR10F	47	+	99.48313	85
chr8	18615041	18615569	LTR10F	128	+	96.91999	205
chr7	128701219	128701852	LTR10A	191	-	95.81091	74
chr6	161315596	161315874	LTR10F	102	-	95.45432	71
chr6	161315489	161315599	LTR10F	29	-	95.45432	71
chr6	161315114	161315514	LTR10F	76	-	95.45432	71
chr5	115928966	115929209	LTR10F	135	-	87.28267	340
chr5	115928966	115929209	LTR10F	135	-	87.28267	178
chr5	115928882	115928996	LTR10F	58	-	87.28267	340
chr5	115928882	115928996	LTR10F	58	-	87.28267	178
chr5	115928827	115928913	LTR10F	47	-	87.28267	340
chr5	115928827	115928913	LTR10F	47	-	87.28267	178
chr1	2097749	2098300	LTR10A	172	-	85.46394	58
chr9	40746805	40747326	LTR10A	168	-	85.38945	254
chr9	5674939	5675448	LTR10F	63	-	84.2054	123
chr17	51434316	51434804	LTR10F	134	-	83.9139	49
chr6	86581732	86582241	LTR10F	99	-	82.0752	24
chr4	12431108	12431652	LTR10F	125	-	81.98558	44
chr6	161309653	161310158	LTR10F	78	-	77.9001	55
chr16	56984594	56985156	LTR10A	159	+	76.00983	100
chr4	98864532	98865005	LTR10F	68	+	70.59952	48
chr2	31283462	31284018	LTR10F	112	+	70.03757	41
chr19	9673925	9674425	LTR10F	109	-	69.65195	388
chr18	31738849	31739404	LTR10A	120	+	69.54075	55
chr14	20828253	20828855	LTR10F	128	-	65.96995	195
chrX	37484307	37484837	LTR10F	101	+	65.75388	51
chr3	51896961	51897435	LTR10F	58	+	61.89372	81
chr3	148753231	148753759	LTR10F	105	-	60.03607	58
chr1	189662201	189662672	LTR10F	70	+	58.91109	31
chr3	87433430	87433930	LTR10F	64	+	52.8181	24
chr12	87425928	87426403	LTR10A	153	+	51.82306	41
chrX	45006327	45006789	LTR10F	72	-	49.28845	165
chr5	143094507	143095011	LTR10F	78	-	45.97389	41
chr12	38930928	38931409	LTR10A	171	-	39.94024	35
chr12	31744300	31744774	LTR10F	63	-	39.20248	87
chr18	2302842	2303382	LTR10A	142	+	33.85524	260
chr14	53181383	53182025	LTR10F	140	-	33.76136	124
chr5	143088591	143089121	LTR10F	120	-	33.54568	54
chr8	98878311	98878813	LTR10F	68	+	33.28881	42
chr2	235656339	235656841	LTR10F	52	+	31.44908	39
chr19	52665502	52665878	LTR10F	99	+	30.92065	84
chr10	70634473	70635001	LTR10F	109	-	30.18868	149
chr1	1471234	1471375	LTR10A	137	-	23.38219	120
chr15	34161459	34161975	LTR10A	186	-	23.11793	61
